GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
100996455	4.90e-05	1.12e-07	0.3339	-5.3053278	-1.7716479	52.37	LINC02724	long intergenic non-protein coding RNA 2724
148534	5.14e-05	1.26e-07	0.683	5.2850431	3.6095774	140.4	TLCD4	TLC domain containing 4
3123	5.14e-05	1.27e-07	0.3832	-5.2835196	-2.0248583	6850.26	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
5644	5.14e-05	1.26e-07	0.4851	-5.2849046	-2.5638593	63.55	PRSS1	serine protease 1
28560	6.02e-05	1.52e-07	0.6146	-5.2501293	-3.2266328	80.1	TRBV27	T cell receptor beta variable 27
28386	6.93e-05	1.79e-07	1.3213	5.2201311	6.897453	459.12	IGHV5-10-1	immunoglobulin heavy variable 5-10-1
2672	6.97e-05	1.84e-07	0.4141	5.2148872	2.1594944	540.8	GFI1	growth factor independent 1 transcriptional repressor
256236	7.28e-05	1.96e-07	0.427	-5.2028134	-2.2214058	1485.13	NAPSB	napsin B aspartic peptidase, pseudogene
101928517	7.91e-05	2.18e-07	0.2979	-5.1833717	-1.544301	237.38	LOC101928517	uncharacterized LOC101928517
3624	8.15e-05	2.38e-07	0.7958	5.1665168	4.1112658	123.64	INHBA	inhibin subunit beta A
105369593	8.15e-05	2.37e-07	1.1562	-5.1675424	-5.9748187	16.48	LOC105369593	uncharacterized LOC105369593
105373105	8.15e-05	2.35e-07	0.5711	-5.1690001	-2.9522709	96.04	LINC02968	long intergenic non-protein coding RNA 2968
4837	8.79e-05	2.62e-07	0.7323	5.1487413	3.770207	34.23	NNMT	nicotinamide N-methyltransferase
116840	9.45e-05	2.87e-07	0.2166	5.1314666	1.1116514	735.29	CNTROB	centrobin, centriole duplication and spindle assembly protein
10462	1.06e-04	3.28e-07	0.4687	-5.1065244	-2.3932968	252.97	CLEC10A	C-type lectin domain containing 10A
65010	1.26e-04	4.15e-07	0.2755	5.0620765	1.3946978	1210.13	SLC26A6	solute carrier family 26 member 6
28614	1.26e-04	4.06e-07	0.508	-5.0660613	-2.5734233	111.74	TRBV5-1	T cell receptor beta variable 5-1
28596	1.26e-04	4.26e-07	0.4954	-5.056976	-2.5052809	99.21	TRBV7-2	T cell receptor beta variable 7-2
55340	1.26e-04	4.28e-07	0.3245	-5.0561531	-1.6407549	1533.44	GIMAP5	GTPase, IMAP family member 5
